,country,year,d_riot,preds_proba,preds
356,Guinea-Bissau,2017,0,0.17398545461905152,0
357,Guinea-Bissau,2018,0,0.23193268179391632,0
358,Guinea-Bissau,2019,0,0.23546939354083352,0
359,Guinea-Bissau,2020,0,0.2581588334090201,0
360,Guinea-Bissau,2021,0,0.25740190378610733,0
361,Guinea-Bissau,2022,0,0.33176855875175576,0
362,Guinea-Bissau,2023,0,0.3320372914888343,0
363,Guyana,2018,0,0.41792269950917516,0
364,Guyana,2019,0,0.32451373651593474,0
365,Guyana,2020,1,0.3626731960800686,0
366,Guyana,2021,1,0.6661115440126156,1
367,Guyana,2022,1,0.6968450793955258,1
368,Guyana,2023,1,0.7186653071539957,1
369,Haiti,2018,1,0.670082315241606,1
370,Haiti,2019,1,0.7726426188179514,1
371,Haiti,2020,1,0.779659100099936,1
372,Haiti,2021,1,0.800993300797374,1
373,Haiti,2022,1,0.8048752331470229,1
374,Haiti,2023,1,0.8103132360180733,1
375,Honduras,2018,1,0.7224091370493938,1
376,Honduras,2019,1,0.7852342706109787,1
377,Honduras,2020,1,0.7777629843682712,1
378,Honduras,2021,1,0.789479484620105,1
379,Honduras,2022,1,0.7539946617193184,1
380,Honduras,2023,1,0.7478576630359082,1
381,Hungary,2020,0,0.4751668128186673,0
382,Hungary,2021,0,0.49492932999607087,0
383,Hungary,2022,0,0.4961039878483937,0
384,Hungary,2023,1,0.496908468538825,0
385,Iceland,2020,0,0.6811811534240781,1
386,Iceland,2021,0,0.6668641519153151,1
387,Iceland,2022,0,0.6358268267013476,1
388,Iceland,2023,0,0.6361302701058339,1
389,India,2017,1,0.920425317724381,1
390,India,2018,1,0.9106992066863642,1
391,India,2019,1,0.8994556060470419,1
392,India,2020,1,0.8908686206568647,1
393,India,2021,1,0.8804789094495042,1
394,India,2022,1,0.871215126801923,1
395,India,2023,1,0.858666121594022,1
396,Indonesia,2017,1,0.933452361411147,1
397,Indonesia,2018,1,0.9226614951808949,1
398,Indonesia,2019,1,0.914395995726786,1
399,Indonesia,2020,1,0.9023391932960425,1
400,Indonesia,2021,1,0.9038569061795028,1
401,Indonesia,2022,1,0.8705398967669349,1
402,Indonesia,2023,1,0.8682464695363894,1
403,Iran,2017,1,0.8970154265166661,1
404,Iran,2018,1,0.8843162822506722,1
405,Iran,2019,1,0.8622014435581897,1
406,Iran,2020,1,0.8510463925669396,1
407,Iran,2021,1,0.8381936249547048,1
408,Iran,2022,1,0.8250577468377347,1
409,Iran,2023,1,0.8269275804093152,1
410,Iraq,2017,1,0.8865512719441846,1
411,Iraq,2018,1,0.8704511490167799,1
412,Iraq,2019,1,0.8712959195802925,1
413,Iraq,2020,1,0.8661117376879689,1
414,Iraq,2021,1,0.8718613052343569,1
415,Iraq,2022,1,0.868442047754747,1
416,Iraq,2023,1,0.8882077334649889,1
417,Ireland,2020,1,0.5970060845723812,1
418,Ireland,2021,0,0.7011797302445071,1
419,Ireland,2022,0,0.39896738883325045,0
420,Ireland,2023,1,0.4036692331349223,0
421,Israel,2017,1,0.8757068016060079,1
422,Israel,2018,1,0.8660675417809911,1
423,Israel,2019,1,0.8527990623698709,1
424,Israel,2020,1,0.8611791886423886,1
425,Israel,2021,1,0.8551957709429239,1
426,Israel,2022,1,0.8505429670541196,1
427,Israel,2023,1,0.8397069123857678,1
428,Italy,2020,1,0.6942958733822391,1
429,Italy,2021,1,0.7620985294068573,1
430,Italy,2022,1,0.7560341627200944,1
431,Italy,2023,1,0.7544588526498389,1
432,Ivory Coast,2017,1,0.9087173640639892,1
433,Ivory Coast,2018,1,0.8539021218064189,1
434,Ivory Coast,2019,1,0.8865646639195681,1
435,Ivory Coast,2020,1,0.8750697720982772,1
436,Ivory Coast,2021,1,0.8468984009313034,1
437,Ivory Coast,2022,1,0.8752410534846192,1
438,Ivory Coast,2023,1,0.8801081773369649,1
439,Jamaica,2018,1,0.45659528814225137,0
440,Jamaica,2019,1,0.6916975622041652,1
441,Jamaica,2020,1,0.6606479400326624,1
442,Jamaica,2021,1,0.695336819895149,1
443,Jamaica,2022,1,0.6670027627261915,1
444,Jamaica,2023,1,0.6705858375694647,1
445,Japan,2018,0,0.6972664949518448,1
446,Japan,2019,0,0.6898573848482619,1
447,Japan,2020,0,0.6997812699219059,1
448,Japan,2021,0,0.6958382530266644,1
449,Japan,2022,0,0.6958860917243779,1
450,Japan,2023,0,0.696260641814037,1
451,Jordan,2017,1,0.7880260922799187,1
452,Jordan,2018,1,0.771080277081426,1
453,Jordan,2019,1,0.749387319036767,1
454,Jordan,2020,1,0.7429329537225395,1
455,Jordan,2021,1,0.7348107731271536,1
456,Jordan,2022,1,0.7081223172436008,1
457,Jordan,2023,1,0.7002954416135114,1
458,Kazakhstan,2018,0,0.3295564868875372,0
459,Kazakhstan,2019,1,0.39600522727607873,0
460,Kazakhstan,2020,1,0.6193398932158563,1
461,Kazakhstan,2021,1,0.6035516526803615,1
462,Kazakhstan,2022,1,0.6400723943149021,1
463,Kazakhstan,2023,1,0.6402197292836276,1
464,Kenya,2017,1,0.9022918504405504,1
465,Kenya,2018,1,0.9214591164264686,1
466,Kenya,2019,1,0.9337079128547245,1
467,Kenya,2020,1,0.9345328771538564,1
468,Kenya,2021,1,0.879179678263172,1
469,Kenya,2022,1,0.8968920210550039,1
470,Kenya,2023,1,0.872019362099085,1
471,Kuwait,2017,0,0.2813316405037728,0
472,Kuwait,2018,0,0.28716894034453294,0
473,Kuwait,2019,0,0.30244062496487467,0
474,Kuwait,2020,0,0.3231640272281815,0
475,Kuwait,2021,0,0.35818683963776804,0
476,Kuwait,2022,0,0.32463416380372845,0
477,Kuwait,2023,0,0.34739693562855567,0
478,Kyrgyzstan,2018,1,0.5194356486010561,1
479,Kyrgyzstan,2019,1,0.735531892249026,1
480,Kyrgyzstan,2020,1,0.7510508404386372,1
481,Kyrgyzstan,2021,1,0.722247677290739,1
482,Kyrgyzstan,2022,1,0.672769432272494,1
483,Kyrgyzstan,2023,1,0.669110062117411,1
484,Laos,2017,0,0.28740337279598427,0
485,Laos,2018,0,0.38082478267573067,0
486,Laos,2019,0,0.39195561748214314,0
487,Laos,2020,0,0.41791456347107614,0
488,Laos,2021,0,0.44602595956586355,0
489,Laos,2022,0,0.4416495768135078,0
490,Laos,2023,0,0.44190110079205425,0
491,Latvia,2020,0,0.35379127672781796,0
492,Latvia,2021,0,0.34768481322638256,0
493,Latvia,2022,0,0.3430601715940047,0
494,Latvia,2023,0,0.38759457970970823,0
495,Lebanon,2017,1,0.8782774477949176,1
496,Lebanon,2018,1,0.8936903579977378,1
497,Lebanon,2019,1,0.8722201914958356,1
498,Lebanon,2020,1,0.8646232057739399,1
499,Lebanon,2021,1,0.8419562184703251,1
500,Lebanon,2022,1,0.8280941267525688,1
501,Lebanon,2023,1,0.8256876415620688,1
502,Lesotho,2017,0,0.1800730654549416,0
503,Lesotho,2018,0,0.20269622231319606,0
504,Lesotho,2019,0,0.20144211165652304,0
505,Lesotho,2020,1,0.18199801504872468,0
506,Lesotho,2021,1,0.5570568290597577,1
507,Lesotho,2022,1,0.5642148281104113,1
508,Lesotho,2023,0,0.5838726865881518,1
509,Liberia,2017,1,0.7818379020560912,1
510,Liberia,2018,1,0.7523463208651805,1
511,Liberia,2019,1,0.7522196834844643,1
512,Liberia,2020,1,0.708403844595516,1
513,Liberia,2021,1,0.6998608567222864,1
514,Liberia,2022,1,0.6909591362790088,1
515,Liberia,2023,1,0.6827602644400703,1
516,Libya,2017,1,0.8695723581130459,1
517,Libya,2018,1,0.8498842371959403,1
518,Libya,2019,1,0.8168829636976329,1
519,Libya,2020,1,0.844983846759765,1
520,Libya,2021,0,0.7857779445953191,1
521,Libya,2022,1,0.534890522878932,1
522,Libya,2023,1,0.7548411345177839,1
523,Lithuania,2020,0,0.35271853067287934,0
