,country,year,d_ns,preds_proba,preds
479,Denmark,2020,0,0.0018448681898810438,0
480,Denmark,2021,0,0.0018448681898810438,0
481,Denmark,2022,0,0.0018448681898810438,0
482,Denmark,2023,0,0.003610623166849737,0
483,Iceland,2017,0,0.0044052380420375155,0
484,Iceland,2018,0,0.00698899373656746,0
485,Iceland,2019,0,0.009095100072706743,0
486,Iceland,2020,0,0.0093439851136076,0
487,Iceland,2021,0,0.010981106077609739,0
488,Iceland,2022,0,0.02049825692213708,0
489,Iceland,2023,0,0.021663574999703377,0
490,Cabo Verde,2017,0,0.004699447844800277,0
491,Cabo Verde,2018,0,0.0031125627806485767,0
492,Cabo Verde,2019,0,0.0040232064756176265,0
493,Cabo Verde,2020,0,0.0033434035335008867,0
494,Cabo Verde,2021,0,0.00472631305420278,0
495,Cabo Verde,2022,0,0.006607452835953646,0
496,Cabo Verde,2023,0,0.009691680243993984,0
497,Guinea-Bissau,2017,0,0.03069600137069875,0
498,Guinea-Bissau,2018,0,0.05677242044295955,0
499,Guinea-Bissau,2019,0,0.052830722753505324,0
500,Guinea-Bissau,2020,0,0.07419758786282392,0
501,Guinea-Bissau,2021,0,0.04650854143613935,0
502,Guinea-Bissau,2022,0,0.04869512605847676,0
503,Guinea-Bissau,2023,0,0.04749074117099018,0
504,Equatorial Guinea,2017,0,0.016927005909292046,0
505,Equatorial Guinea,2018,0,0.0180764079907805,0
506,Equatorial Guinea,2019,0,0.02916415051325296,0
507,Equatorial Guinea,2020,0,0.04140568452373774,0
508,Equatorial Guinea,2021,0,0.03296940305794154,0
509,Equatorial Guinea,2022,0,0.06712525860103931,0
510,Equatorial Guinea,2023,0,0.07270764472376133,0
511,Gambia,2017,0,0.022007108633281935,0
512,Gambia,2018,0,0.02434877692374996,0
513,Gambia,2019,0,0.020942564689818168,0
514,Gambia,2020,0,0.01891415519090775,0
515,Gambia,2021,0,0.021592486584871857,0
516,Gambia,2022,0,0.02051750669206836,0
517,Gambia,2023,0,0.02223957209435098,0
518,Mali,2017,1,0.7977510272280626,1
519,Mali,2018,1,0.7789350998618947,1
520,Mali,2019,1,0.746531482074435,1
521,Mali,2020,1,0.7292076462580159,1
522,Mali,2021,1,0.6871200185975117,1
523,Mali,2022,1,0.7143670076962907,1
524,Mali,2023,1,0.7259527457118983,1
525,Senegal,2017,0,0.03781181623401856,0
526,Senegal,2018,0,0.03661276452409146,0
527,Senegal,2019,0,0.04417720288396934,0
528,Senegal,2020,0,0.10416744185841742,0
529,Senegal,2021,0,0.10437308610675067,0
530,Senegal,2022,0,0.05537999200837855,0
531,Senegal,2023,0,0.05844337061434627,0
532,Benin,2017,0,0.05594126808353042,0
533,Benin,2018,0,0.05818226120994992,0
534,Benin,2019,0,0.13700547243726255,0
535,Benin,2020,0,0.11771957963535978,0
536,Benin,2021,0,0.1462961623436559,0
537,Benin,2022,0,0.12318718940877295,0
538,Benin,2023,0,0.1272391640016362,0
539,Mauritania,2017,0,0.044029724312778296,0
540,Mauritania,2018,0,0.03662061638873321,0
541,Mauritania,2019,0,0.04697640505244206,0
542,Mauritania,2020,0,0.04667155919299743,0
543,Mauritania,2021,0,0.04353370632466948,0
544,Mauritania,2022,0,0.052685673295299655,0
545,Mauritania,2023,0,0.05678456535339488,0
546,Niger,2017,1,0.3141176746888118,0
547,Niger,2018,1,0.3890577834907762,0
548,Niger,2019,0,0.5541199290004458,1
549,Niger,2020,0,0.43971775930222634,0
550,Niger,2021,1,0.4354644501414833,0
551,Niger,2022,1,0.5446541581317451,1
552,Niger,2023,1,0.6560862591674361,1
553,Ivory Coast,2017,0,0.5702912072983443,1
554,Ivory Coast,2018,0,0.4114512157423072,0
555,Ivory Coast,2019,0,0.2887753714469375,0
556,Ivory Coast,2020,0,0.46407532489410486,0
557,Ivory Coast,2021,0,0.3470777473352328,0
558,Ivory Coast,2022,0,0.32163027585209547,0
559,Ivory Coast,2023,0,0.3353125888459795,0
560,Guinea,2017,0,0.1907251678272367,0
561,Guinea,2018,0,0.1667666108206119,0
562,Guinea,2019,0,0.1758005441835863,0
563,Guinea,2020,1,0.18897973054597758,0
564,Guinea,2021,1,0.3215085748723213,0
565,Guinea,2022,0,0.3073817860686904,0
566,Guinea,2023,0,0.15757457445815082,0
567,Burkina Faso,2017,1,0.09915753050347595,0
568,Burkina Faso,2018,1,0.268891248079163,0
569,Burkina Faso,2019,1,0.32254681869510254,0
570,Burkina Faso,2020,1,0.3493393251038488,0
571,Burkina Faso,2021,1,0.4457439269252558,0
572,Burkina Faso,2022,1,0.38649288840579465,0
573,Burkina Faso,2023,1,0.43602243723900136,0
574,Liberia,2017,0,0.04789021695028076,0
575,Liberia,2018,0,0.09260463885957393,0
576,Liberia,2019,0,0.051315913285863615,0
577,Liberia,2020,0,0.05578464739275678,0
578,Liberia,2021,0,0.09301526236683816,0
579,Liberia,2022,0,0.09400844017846476,0
580,Liberia,2023,0,0.09991326383328772,0
581,Sierra Leone,2017,0,0.03770811938611771,0
582,Sierra Leone,2018,0,0.057489211524910884,0
