,country,year,d_sb,preds_proba,preds
499,Guinea-Bissau,2019,0,0.024654390418493932,0
500,Guinea-Bissau,2020,0,0.09644050657881895,0
501,Guinea-Bissau,2021,0,0.07092950376158848,0
502,Guinea-Bissau,2022,0,0.06440808264495457,0
503,Guinea-Bissau,2023,0,0.07607605844080491,0
504,Equatorial Guinea,2017,0,0.040790370505340415,0
505,Equatorial Guinea,2018,0,0.05146285139677863,0
506,Equatorial Guinea,2019,0,0.0583574012642076,0
507,Equatorial Guinea,2020,0,0.07447726240133276,0
508,Equatorial Guinea,2021,0,0.06988899703269734,0
509,Equatorial Guinea,2022,0,0.104619069998496,0
510,Equatorial Guinea,2023,0,0.12824308486068006,0
511,Gambia,2017,0,0.03976363022534713,0
512,Gambia,2018,0,0.034131089947325145,0
513,Gambia,2019,0,0.030681938590344536,0
514,Gambia,2020,0,0.03843442422132768,0
515,Gambia,2021,0,0.042675457532250896,0
516,Gambia,2022,0,0.08081620594004602,0
517,Gambia,2023,0,0.09897414231248927,0
518,Mali,2017,1,0.901262538947044,1
519,Mali,2018,1,0.8783557298392031,1
520,Mali,2019,1,0.859970808550947,1
521,Mali,2020,1,0.8296525824983632,1
522,Mali,2021,1,0.804890002908864,1
523,Mali,2022,1,0.7845451011644017,1
524,Mali,2023,1,0.7347693217321756,1
525,Senegal,2017,0,0.18054533488314836,0
526,Senegal,2018,0,0.14534726558747021,0
527,Senegal,2019,0,0.12737206283091523,0
528,Senegal,2020,0,0.11875775062902585,0
529,Senegal,2021,0,0.11955172095542085,0
530,Senegal,2022,0,0.14713425495756507,0
531,Senegal,2023,0,0.18281285068130965,0
532,Benin,2017,0,0.032402516792004274,0
533,Benin,2018,0,0.03878917790247333,0
534,Benin,2019,0,0.048075900935469526,0
535,Benin,2020,1,0.05500324042399314,0
536,Benin,2021,1,0.27337834183957,0
537,Benin,2022,1,0.2772291627216129,0
538,Benin,2023,1,0.2504181446716722,0
539,Mauritania,2017,0,0.11790681062836247,0
540,Mauritania,2018,0,0.10825956263781031,0
541,Mauritania,2019,0,0.13307998624797152,0
542,Mauritania,2020,0,0.19138928486250179,0
543,Mauritania,2021,0,0.19236559662696787,0
544,Mauritania,2022,0,0.1590552194456848,0
545,Mauritania,2023,1,0.1566530015011542,0
546,Niger,2017,1,0.756178635146373,1
547,Niger,2018,1,0.737961143216019,1
548,Niger,2019,1,0.6794113238937047,1
549,Niger,2020,1,0.6719740496596303,1
550,Niger,2021,1,0.685868728335275,1
551,Niger,2022,1,0.6924989212642256,1
552,Niger,2023,1,0.6531753314593972,1
553,Ivory Coast,2017,0,0.15542558122017644,0
554,Ivory Coast,2018,0,0.13986703897833533,0
555,Ivory Coast,2019,0,0.1847451921900723,0
556,Ivory Coast,2020,0,0.19248027024025577,0
557,Ivory Coast,2021,0,0.16407249020891007,0
558,Ivory Coast,2022,0,0.17245703611000876,0
559,Ivory Coast,2023,0,0.18669368173608997,0
560,Guinea,2017,0,0.08451594619098764,0
561,Guinea,2018,0,0.10274851266509438,0
562,Guinea,2019,0,0.1251090292732028,0
563,Guinea,2020,0,0.12962153443883123,0
564,Guinea,2021,0,0.16890368425897773,0
565,Guinea,2022,0,0.20386713403912188,0
566,Guinea,2023,0,0.20962287496536403,0
567,Burkina Faso,2017,1,0.09571071305655246,0
568,Burkina Faso,2018,1,0.31593012178591984,0
569,Burkina Faso,2019,1,0.34488590038528794,0
570,Burkina Faso,2020,1,0.35280056720943515,0
571,Burkina Faso,2021,1,0.3757212241497255,0
572,Burkina Faso,2022,1,0.39790201786529006,0
573,Burkina Faso,2023,1,0.3940039695019525,0
574,Liberia,2017,0,0.04754004543597754,0
575,Liberia,2018,0,0.07493803791195602,0
576,Liberia,2019,0,0.09314284743034676,0
577,Liberia,2020,0,0.08190851774017194,0
578,Liberia,2021,0,0.0924694168146809,0
579,Liberia,2022,0,0.10890028719285605,0
580,Liberia,2023,0,0.1292702605893569,0
581,Sierra Leone,2017,0,0.043512657442355426,0
582,Sierra Leone,2018,0,0.04828800956270561,0
583,Sierra Leone,2019,0,0.056129475356420974,0
584,Sierra Leone,2020,0,0.06766697067122576,0
585,Sierra Leone,2021,0,0.06767006932946859,0
586,Sierra Leone,2022,0,0.12104761565020494,0
