,country,year,d_osv,preds_proba,preds
468,Sweden,2023,0,0.04121122049783789,0
469,Norway,2017,0,0.01704381014663195,0
470,Norway,2018,0,0.024226246061055556,0
471,Norway,2019,0,0.02643578405186398,0
472,Norway,2020,0,0.031661157058421555,0
473,Norway,2021,0,0.031720100273187536,0
474,Norway,2022,0,0.04129795704707221,0
475,Norway,2023,0,0.036643683684403086,0
476,Denmark,2017,0,0.03564069650269439,0
477,Denmark,2018,0,0.019991581945980594,0
478,Denmark,2019,0,0.01945765627090443,0
479,Denmark,2020,0,0.019428415748691398,0
480,Denmark,2021,0,0.019314640465080458,0
481,Denmark,2022,0,0.030560036747640587,0
482,Denmark,2023,0,0.032475368437020494,0
483,Iceland,2017,0,0.018750110846577277,0
484,Iceland,2018,0,0.022377037585172233,0
485,Iceland,2019,0,0.02243807384215834,0
486,Iceland,2020,0,0.026352485385439474,0
487,Iceland,2021,0,0.02604701362629342,0
488,Iceland,2022,0,0.01568731654738517,0
489,Iceland,2023,0,0.019612933869834644,0
490,Cabo Verde,2017,0,0.0032724754377190203,0
491,Cabo Verde,2018,0,0.0038982394975791883,0
492,Cabo Verde,2019,0,0.003958919648838355,0
493,Cabo Verde,2020,0,0.003958919648838355,0
494,Cabo Verde,2021,0,0.0038223893085052286,0
495,Cabo Verde,2022,0,0.011200481770455468,0
496,Cabo Verde,2023,0,0.01110837796943709,0
497,Guinea-Bissau,2017,0,0.03658359489688806,0
498,Guinea-Bissau,2018,0,0.03305955197556937,0
499,Guinea-Bissau,2019,0,0.082638180480312,0
500,Guinea-Bissau,2020,0,0.08541558783756173,0
501,Guinea-Bissau,2021,0,0.0746044890840624,0
502,Guinea-Bissau,2022,0,0.09483809735252009,0
503,Guinea-Bissau,2023,0,0.11102916990318157,0
504,Equatorial Guinea,2017,0,0.08579109105226396,0
505,Equatorial Guinea,2018,0,0.09725660022896832,0
506,Equatorial Guinea,2019,0,0.09949914575608611,0
507,Equatorial Guinea,2020,0,0.10885094300874588,0
508,Equatorial Guinea,2021,0,0.09450751333009932,0
509,Equatorial Guinea,2022,0,0.12916924291140147,0
510,Equatorial Guinea,2023,0,0.13612577938331508,0
511,Gambia,2017,0,0.1028489036645075,0
512,Gambia,2018,0,0.06342815736053506,0
513,Gambia,2019,0,0.1020221677737984,0
514,Gambia,2020,0,0.10995103022317669,0
515,Gambia,2021,0,0.1561468472637241,0
516,Gambia,2022,0,0.08040141089497467,0
517,Gambia,2023,0,0.07468113301048569,0
518,Mali,2017,1,0.9100704135233832,1
519,Mali,2018,1,0.9010813435515937,1
520,Mali,2019,1,0.8959377656497716,1
521,Mali,2020,1,0.8621976167953982,1
522,Mali,2021,1,0.8675074084014742,1
523,Mali,2022,1,0.8494777707448933,1
524,Mali,2023,1,0.845137493915133,1
525,Senegal,2017,0,0.13755983473353567,0
526,Senegal,2018,1,0.15305524411883303,0
527,Senegal,2019,0,0.24996825577061066,0
528,Senegal,2020,0,0.14658762107443649,0
529,Senegal,2021,0,0.10650054112207978,0
530,Senegal,2022,0,0.1534062802626376,0
531,Senegal,2023,0,0.16426965118125886,0
532,Benin,2017,0,0.10580863917289221,0
533,Benin,2018,0,0.12309620138563052,0
534,Benin,2019,1,0.15339100566080355,0
535,Benin,2020,0,0.2683124659547375,0
536,Benin,2021,0,0.17930672629392275,0
537,Benin,2022,0,0.1414229043314554,0
538,Benin,2023,1,0.1773348695977568,0
539,Mauritania,2017,0,0.15074673108907005,0
540,Mauritania,2018,0,0.16138207236142882,0
541,Mauritania,2019,0,0.18918884957829252,0
542,Mauritania,2020,0,0.17864556463959266,0
543,Mauritania,2021,0,0.18004787232218694,0
544,Mauritania,2022,0,0.16217653115189612,0
545,Mauritania,2023,0,0.14887398529685536,0
546,Niger,2017,1,0.6254231084237221,1
547,Niger,2018,1,0.6244263411224146,1
548,Niger,2019,1,0.6250151645502201,1
549,Niger,2020,1,0.6202461023909043,1
550,Niger,2021,1,0.6031737215579157,1
551,Niger,2022,1,0.6107171426551606,1
