,country,year,d_protest,preds_proba,preds
436,Ivory Coast,2021,1,0.5122831583426026,1
437,Ivory Coast,2022,1,0.49086307084114855,0
438,Ivory Coast,2023,0,0.4729809366424198,0
439,Jamaica,2018,0,0.581915858943008,1
440,Jamaica,2019,0,0.5870682901429933,1
441,Jamaica,2020,0,0.59011750684296,1
442,Jamaica,2021,1,0.6047309195859338,1
443,Jamaica,2022,1,0.6042285552852115,1
444,Jamaica,2023,1,0.6021685109397604,1
445,Japan,2018,1,0.6793057675361545,1
446,Japan,2019,1,0.6735319971749067,1
447,Japan,2020,1,0.6904463766250745,1
448,Japan,2021,1,0.6871244424709086,1
449,Japan,2022,1,0.6824174579636165,1
450,Japan,2023,1,0.6667287764493488,1
451,Jordan,2017,1,0.775757310145559,1
452,Jordan,2018,1,0.7608026778951973,1
453,Jordan,2019,1,0.7467039477245867,1
454,Jordan,2020,1,0.7509229650507705,1
455,Jordan,2021,1,0.7458718532686441,1
456,Jordan,2022,1,0.7155265183257093,1
457,Jordan,2023,1,0.6761992993499668,1
458,Kazakhstan,2018,1,0.6661940838183613,1
459,Kazakhstan,2019,1,0.7017338921921913,1
460,Kazakhstan,2020,1,0.7297124837192681,1
461,Kazakhstan,2021,1,0.720859821291321,1
462,Kazakhstan,2022,1,0.7221705819878237,1
463,Kazakhstan,2023,1,0.7120920285192591,1
464,Kenya,2017,1,0.8788219676724076,1
465,Kenya,2018,1,0.8364534678469728,1
466,Kenya,2019,1,0.8399896230162358,1
467,Kenya,2020,1,0.816750730094067,1
468,Kenya,2021,1,0.7971347516422851,1
469,Kenya,2022,1,0.7717764910272706,1
470,Kenya,2023,1,0.7286284576806905,1
471,Kuwait,2017,0,0.322004506394191,0
472,Kuwait,2018,0,0.33244070245210133,0
473,Kuwait,2019,0,0.35007110014070963,0
474,Kuwait,2020,0,0.3962917485871702,0
475,Kuwait,2021,0,0.40082496202421886,0
476,Kuwait,2022,0,0.37978975794738523,0
477,Kuwait,2023,0,0.3874783874947848,0
478,Kyrgyzstan,2018,1,0.6773736753806682,1
479,Kyrgyzstan,2019,1,0.6791008142364798,1
480,Kyrgyzstan,2020,1,0.7091672133782346,1
481,Kyrgyzstan,2021,1,0.7234716140234829,1
482,Kyrgyzstan,2022,1,0.6944366359101973,1
483,Kyrgyzstan,2023,1,0.670772294353255,1
484,Laos,2017,0,0.1750876246468547,0
485,Laos,2018,0,0.19210798329493836,0
486,Laos,2019,0,0.22763620303063553,0
487,Laos,2020,0,0.26766621089043485,0
488,Laos,2021,0,0.28251159373384843,0
489,Laos,2022,0,0.31356527772015136,0
490,Laos,2023,0,0.30799317922008657,0
491,Latvia,2020,1,0.6093384371637622,1
492,Latvia,2021,1,0.613763582424883,1
493,Latvia,2022,1,0.613404171547819,1
